,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
lactuca sativa,lactuca sativa,160,194.6347554,0.6885763490241102,0.58125,0.27956989247311825,0.1625,0.07,2170,3421
lactuca sativa,lactuca sativa,210,154.24426,0.7062297580491521,0.569047619047619,0.24267782426778245,0.1380952380952381,0.1,2170,3421
lactuca sativa,lactuca sativa,260,154.24426,0.7442028985507246,0.5576923076923077,0.20689655172413793,0.11538461538461539,0.12,2170,3421
lactuca sativa,lactuca sativa,310,154.24426,0.688,0.5564516129032258,0.2028985507246377,0.11290322580645161,0.14,2170,3421
lactuca sativa,lactuca sativa,360,145.10924500000002,0.696594427244582,0.5513888888888889,0.18639798488664985,0.10277777777777777,0.17,2170,3421
lactuca sativa,lactuca sativa,410,145.10924500000002,0.624441132637854,0.5536585365853659,0.1938325991189427,0.1073170731707317,0.19,2170,3421
lactuca sativa,lactuca sativa,460,145.10924500000002,0.617136933656958,0.5521739130434783,0.18897637795275588,0.10434782608695652,0.21,2170,3421
lactuca sativa,lactuca sativa,510,145.10924500000002,0.6101150487067518,0.5509803921568628,0.18505338078291814,0.10196078431372549,0.24,2170,3421
lactuca sativa,lactuca sativa,560,101.3434597,0.6256953593910116,0.5482142857142858,0.1758957654723127,0.09642857142857143,0.26,2170,3421
lactuca sativa,lactuca sativa,610,101.3434597,0.615457896051974,0.5475409836065573,0.17365269461077845,0.09508196721311475,0.28,2170,3421
lactuca sativa,lactuca sativa,660,101.3434597,0.6154382988040176,0.5462121212121213,0.16920943134535366,0.09242424242424242,0.3,2170,3421
lactuca sativa,lactuca sativa,710,101.3434597,0.5861168496553004,0.5471830985915493,0.17245817245817244,0.09436619718309859,0.33,2170,3421
lactuca sativa,lactuca sativa,760,101.3434597,0.550199513381995,0.5493421052631579,0.17964071856287428,0.09868421052631579,0.35,2170,3421
lactuca sativa,lactuca sativa,810,101.3434597,0.5433818493150685,0.5493827160493827,0.1797752808988764,0.09876543209876543,0.37,2170,3421
lactuca sativa,lactuca sativa,860,30.5790063,0.551898714549317,0.5482558139534883,0.17603393425238603,0.09651162790697675,0.4,2170,3421
